"organ","B","","leaf bud","also terminal bud and adjacent stem "
"organ","BX","","bud","both leaf and flower bud"
"organ","C","","root collar","also lowest part of the stem and horizontal runners"
"organ","F","","fruit","also seed"
"organ","L","","leaf","also petiole, leaf veins"
"organ","R","","root","also bulb, uber, rootstock"
"organ","S","","stem","also peduncle, rachhis of ferns, leaf sheath of grasses"
"organ","Sys","","systemic","all aboveground parts of the plant"
"organ","U","","unknown",""
"organ","X","","flower","also flower bud, inflorescence, flower head, cone"
"role","B","","borer","internal feeding, no external symptoms"
"role","BM","","miner > borer","mine followed by an internal tunnel"
"role","D","","down","fungus"
"role","F","","leaf spot",""
"role","film","","film","very thin fungal film"
"role","G","","gall","swelling, malformation, greening"
"role","I","","inquiline",""
"role","M","","miner",""
"role","O","","oviposition scar",""
"role","P","","pustule","0.1-3  mm, mostly fungal material"
"role","Pre","","predator, parasite",""
"role","Stripe","","stripe",""
"role","U","","unknown",""
"role","V","","vagrant",""
"role","W","","witches' broom",""
"phase","'01","Pucciniales","aecia",""
"phase","'0123","Pucciniales","aecia uredinia telia",""
"phase","'013","Pucciniales","aecia telia",""
"phase","'023","Pucciniales","uredinia telia",""
"phase","'03","Pucciniales","telia",""
"phase","1","Pucciniales","aecia",""
"phase","123","Pucciniales","aecia uredinia telia",""
"phase","13","Pucciniales","aecia telia",""
"phase","2","Pucciniales","aecia telia",""
"phase","23","Pucciniales","uredinia telia",""
"phase","3","Pucciniales","telia",""
"phase","FF","","agamous generation",""
"phase","L1","","young larva",""
"phase","L2","","older larva",""
"phase","MF","","sexual generation",""
"notes","M","","main",""
" notes","Q","","doubtful",""
" notes","R","","rarely",""
"phase","spring","","spring generation",""
"phase","summer","","summer generation",""
"role","SC","","scale",""
"phase","larva","","larva",""
"phase","Imago","","imago",""
"role","H","","hidden",""
"phase","egg","","egg",""
"organ","Seeds","","seeds",""
"role","CA","","cancer",""
"role","MAF","","macro fungus",""
"organ","DW","","dead wood",""
"phase","ana","","anamorph",""
"phase","tel","","teleomorh",""
