"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus"
"Abelmoschus esculentus",11,FALSE,2609574,"Malvaceae","Abelmoschus"
"Abies alba",213,TRUE,381621,"Pinaceae","Abies"
"Abies amabilis",6,FALSE,381632,"Pinaceae","Abies"
"Abies balsamea",21,FALSE,381647,"Pinaceae","Abies"
"Abies cephalonica",51,TRUE,381681,"Pinaceae","Abies"
"Abies cilicica",24,FALSE,381699,"Pinaceae","Abies"
"Abies concolor",28,FALSE,381713,"Pinaceae","Abies"
"Abies firma",3,FALSE,381782,"Pinaceae","Abies"
"Abies fraseri",4,FALSE,381792,"Pinaceae","Abies"
"Abies grandis",21,FALSE,381804,"Pinaceae","Abies"
"Abies holophylla",2,FALSE,381827,"Pinaceae","Abies"
"Abies homolepis",6,FALSE,381829,"Pinaceae","Abies"
"Abies koreana",9,FALSE,381844,"Pinaceae","Abies"
"Abies lasiocarpa",13,FALSE,381853,"Pinaceae","Abies"
"Abies magnifica",4,FALSE,381868,"Pinaceae","Abies"
"Abies nebrodensis",5,TRUE,381902,"Pinaceae","Abies"
"Abies nephrolepis",2,FALSE,381905,"Pinaceae","Abies"
"Abies nordmanniana",59,FALSE,381919,"Pinaceae","Abies"
"Abies nordmanniana subsp. equi-trojani",34,FALSE,381924,"Pinaceae","Abies"
"Abies numidica",11,FALSE,381929,"Pinaceae","Abies"
"Abies pindrow",3,FALSE,381960,"Pinaceae","Abies"
"Abies pinsapo",42,TRUE,381963,"Pinaceae","Abies"
"Abies pinsapo subsp. marocana",1,FALSE,381968,"Pinaceae","Abies"
"Abies procera",13,FALSE,381974,"Pinaceae","Abies"
"Abies sachalinensis",6,FALSE,381990,"Pinaceae","Abies"
"Abies sibirica",20,TRUE,382001,"Pinaceae","Abies"
"Abies veitchii",8,FALSE,382044,"Pinaceae","Abies"
"Abies × borisii-regis",9,TRUE,381664,"Pinaceae","Abies"
"Abutilon fruticosum",1,FALSE,2610628,"Malvaceae","Abutilon"
"Abutilon grandifolium",3,FALSE,2610654,"Malvaceae","Abutilon"
"Abutilon theophrasti",9,FALSE,2611008,"Malvaceae","Abutilon"
"Acacia acinacea",3,FALSE,2611102,"Fabaceae","Acacia"
"Acacia applanata",1,FALSE,2611267,"Fabaceae","Acacia"
"Acacia baileyana",3,FALSE,2611385,"Fabaceae","Acacia"
"Acacia cultriformis",5,FALSE,2611815,"Fabaceae","Acacia"
"Acacia cyclops",1,FALSE,2611847,"Fabaceae","Acacia"
"Acacia dealbata",7,FALSE,2611879,"Fabaceae","Acacia"
"Acacia decurrens",2,FALSE,2611901,"Fabaceae","Acacia"
"Acacia dentifera",1,FALSE,2611938,"Fabaceae","Acacia"
"Acacia floribunda",1,FALSE,2612237,"Fabaceae","Acacia"
"Acacia ligulata",1,FALSE,2612797,"Fabaceae","Acacia"
"Acacia longifolia",6,FALSE,2612825,"Fabaceae","Acacia"
"Acacia mearnsii",3,FALSE,2612952,"Fabaceae","Acacia"
"Acacia melanoxylon",1,FALSE,2612971,"Fabaceae","Acacia"
"Acacia omalophylla",1,FALSE,2613216,"Fabaceae","Acacia"
"Acacia podalyriifolia",1,FALSE,2613416,"Fabaceae","Acacia"
"Acacia pycnantha",2,FALSE,2613563,"Fabaceae","Acacia"
"Acacia retinodes",2,FALSE,2613616,"Fabaceae","Acacia"
"Acacia saligna",27,FALSE,2613720,"Fabaceae","Acacia"
"Acacia ulicifolia",2,FALSE,2614171,"Fabaceae","Acacia"
"Acaena magellanica",1,FALSE,2938368,"Rosaceae","Acaena"
"Acaena novae-zelandiae",1,FALSE,2938419,"Rosaceae","Acaena"
"Acalypha australis",1,FALSE,214,"Euphorbiaceae","Acalypha"
"Acalypha hispida",1,FALSE,689,"Euphorbiaceae","Acalypha"
"Acalypha wilkesiana",7,FALSE,1384,"Euphorbiaceae","Acalypha"
"Acantholimon avenaceum",1,FALSE,2614618,"Plumbaginaceae","Acantholimon"
"Acantholimon caryophyllaceum",1,FALSE,2614658,"Plumbaginaceae","Acantholimon"
"Acantholimon libanoticum",1,FALSE,2614805,"Plumbaginaceae","Acantholimon"
"Acantholimon ulicinum",1,FALSE,2614968,"Plumbaginaceae","Acantholimon"
"Acanthophyllum persicum",1,FALSE,3225392,"Caryophyllaceae","Acanthophyllum"
"Acanthospermum hispidum",2,FALSE,2922485,"Asteraceae","Acanthospermum"
"Acanthus hungaricus",2,TRUE,2615256,"Acanthaceae","Acanthus"
"Acanthus mollis",11,TRUE,2615276,"Acanthaceae","Acanthus"
"Acanthus spinosus",4,TRUE,2615301,"Acanthaceae","Acanthus"
"Acer buergerianum",1,FALSE,2615419,"Sapindaceae","Acer"
"Acer campestre",249,TRUE,2615447,"Sapindaceae","Acer"
"Acer cappadocicum",6,TRUE,2615475,"Sapindaceae","Acer"
"Acer cappadocicum subsp. lobelii",2,TRUE,2615485,"Sapindaceae","Acer"
"Acer carpinifolium",1,FALSE,2615502,"Sapindaceae","Acer"
"Acer circinatum",5,FALSE,2615530,"Sapindaceae","Acer"
"Acer davidii",1,FALSE,2615577,"Sapindaceae","Acer"
