"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr"
"Abelmoschus esculentus",11,FALSE,2609574,"Malvaceae","Abelmoschus","Annual","Non-Woody","Non-Woody","Annual",63,127814.61738395,"Accepted",2609574,"Abelmoschus esculentus",1968
"Abies alba",213,TRUE,381621,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1375,2461693.32074271,"Accepted",381621,"Abies alba",1745
"Abies amabilis",6,FALSE,381632,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",34,59157.1943920991,"Accepted",381632,"Abies amabilis",1850
"Abies balsamea",21,FALSE,381647,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",65,84531.7346741158,"Accepted",381647,"Abies balsamea",1830
"Abies cephalonica",51,TRUE,381681,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",106,229585.089426698,"Accepted",381681,"Abies cephalonica",1875
"Abies cilicica",24,FALSE,381699,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,11560.825622759,"Accepted",381699,"Abies cilicica",NA
"Abies concolor",28,FALSE,381713,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",337,554679.005889901,"Accepted",381713,"Abies concolor",1856
"Abies firma",3,FALSE,381782,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,8709.60779866011,"Accepted",381782,"Abies firma",1905
"Abies fraseri",4,FALSE,381792,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,10316.2192830268,"Accepted",381792,"Abies fraseri",1879
"Abies grandis",21,FALSE,381804,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",633,1143148.60015868,"Accepted",381804,"Abies grandis",1890
"Abies holophylla",2,FALSE,381827,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",7,9045.83297977263,"Accepted",381827,"Abies holophylla",NA
"Abies homolepis",6,FALSE,381829,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",31,48769.6819528947,"Accepted",381829,"Abies homolepis",2016
"Abies koreana",9,FALSE,381844,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",118,180607.606878376,"Accepted",381844,"Abies koreana",1890
"Abies lasiocarpa",13,FALSE,381853,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",52,67546.902091832,"Accepted",381853,"Abies lasiocarpa",1890
"Abies magnifica",4,FALSE,381868,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",2,3295.26763789424,"Accepted",381868,"Abies magnifica",2005
"Abies nebrodensis",5,TRUE,381902,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,14218.8313313707,"Accepted",381902,"Abies nebrodensis",NA
"Abies nephrolepis",2,FALSE,381905,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1,1596.81255916017,"Accepted",381905,"Abies nephrolepis",NA
