"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr"
"Abelmoschus esculentus",11,FALSE,2609574,"Malvaceae","Abelmoschus","Annual","Non-Woody","Non-Woody","Annual",63,127814.61738395,"Accepted",2609574,"Abelmoschus esculentus",1968
"Abies amabilis",6,FALSE,381632,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",34,59157.1943920991,"Accepted",381632,"Abies amabilis",1850
"Abies balsamea",21,FALSE,381647,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",65,84531.7346741158,"Accepted",381647,"Abies balsamea",1830
"Abies cilicica",24,FALSE,381699,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,11560.825622759,"Accepted",381699,"Abies cilicica",NA
"Abies concolor",28,FALSE,381713,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",337,554679.005889901,"Accepted",381713,"Abies concolor",1856
"Abies firma",3,FALSE,381782,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,8709.60779866011,"Accepted",381782,"Abies firma",1905
"Abies fraseri",4,FALSE,381792,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,10316.2192830268,"Accepted",381792,"Abies fraseri",1879
"Abies grandis",21,FALSE,381804,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",633,1143148.60015868,"Accepted",381804,"Abies grandis",1890
"Abies holophylla",2,FALSE,381827,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",7,9045.83297977263,"Accepted",381827,"Abies holophylla",NA
"Abies homolepis",6,FALSE,381829,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",31,48769.6819528947,"Accepted",381829,"Abies homolepis",2016
"Abies koreana",9,FALSE,381844,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",118,180607.606878376,"Accepted",381844,"Abies koreana",1890
"Abies lasiocarpa",13,FALSE,381853,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",52,67546.902091832,"Accepted",381853,"Abies lasiocarpa",1890
"Abies magnifica",4,FALSE,381868,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",2,3295.26763789424,"Accepted",381868,"Abies magnifica",2005
"Abies nephrolepis",2,FALSE,381905,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1,1596.81255916017,"Accepted",381905,"Abies nephrolepis",NA
"Abies nordmanniana",59,FALSE,381919,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",531,966692.590327559,"Accepted",381919,"Abies nordmanniana",1845
"Abies nordmanniana subsp. equi-trojani",34,FALSE,381924,"Pinaceae","Abies",NA,NA,"Woody","Perennial",531,966692.590327559,"Accepted",381924,"Abies nordmanniana subsp. equi-trojani",NA
"Abies numidica",11,FALSE,381929,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",4,12640.4143557649,"Accepted",381929,"Abies numidica",NA
"Abies pindrow",3,FALSE,381960,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",3,3136.72805504596,"Accepted",381960,"Abies pindrow",NA
"Abies pinsapo subsp. marocana",1,FALSE,381968,"Pinaceae","Abies",NA,NA,"Woody","Perennial",247,608533.336991314,"Accepted",381968,"Abies pinsapo subsp. marocana",NA
"Abies procera",13,FALSE,381974,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",330,497189.238803773,"Accepted",381974,"Abies procera",1880
"Abies sachalinensis",6,FALSE,381990,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,6783.00151446717,"Accepted",381990,"Abies sachalinensis",1860
"Abies veitchii",8,FALSE,382044,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",33,51844.321696345,"Accepted",382044,"Abies veitchii",2012
"Abutilon fruticosum",1,FALSE,2610628,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Abutilon grandifolium",3,FALSE,2610654,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial",12,21639.8052885419,"Accepted",2610654,"Abutilon grandifolium",NA
"Abutilon theophrasti",9,FALSE,2611008,"Malvaceae","Abutilon","Annual","Non-Woody","Non-Woody","Annual",1434,2852072.14712864,"Accepted",2611008,"Abutilon theophrasti",1841
"Acacia acinacea",3,FALSE,2611102,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia applanata",1,FALSE,2611267,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia baileyana",3,FALSE,2611385,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",23,43690.1496162403,"Accepted",2611385,"Acacia baileyana",1981
"Acacia cultriformis",5,FALSE,2611815,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",5,10816.0937307171,"Accepted",2611815,"Acacia cultriformis",1999
"Acacia cyclops",1,FALSE,2611847,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",18,31680.1004865123,"Accepted",2611847,"Acacia cyclops",1939
"Acacia dealbata",7,FALSE,2611879,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",519,1160144.48770271,"Accepted",2611879,"Acacia dealbata",1847
"Acacia decurrens",2,FALSE,2611901,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",16,31790.0860548962,"Accepted",2611901,"Acacia decurrens",1999
"Acacia dentifera",1,FALSE,2611938,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia floribunda",1,FALSE,2612237,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
