"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus","LifeCycle","Woodiness","woodiness","lifecycle"
"Abelmoschus esculentus",11,FALSE,2609574,"Malvaceae","Abelmoschus","Annual","Non-Woody","Non-Woody","Annual"
"Abies alba",213,TRUE,381621,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies amabilis",6,FALSE,381632,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies balsamea",21,FALSE,381647,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies cephalonica",51,TRUE,381681,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies cilicica",24,FALSE,381699,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies concolor",28,FALSE,381713,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies firma",3,FALSE,381782,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies fraseri",4,FALSE,381792,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies grandis",21,FALSE,381804,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies holophylla",2,FALSE,381827,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies homolepis",6,FALSE,381829,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies koreana",9,FALSE,381844,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies lasiocarpa",13,FALSE,381853,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies magnifica",4,FALSE,381868,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies nebrodensis",5,TRUE,381902,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies nephrolepis",2,FALSE,381905,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies nordmanniana",59,FALSE,381919,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies nordmanniana subsp. equi-trojani",34,FALSE,381924,"Pinaceae","Abies",NA,NA,"Woody","Perennial"
"Abies numidica",11,FALSE,381929,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies pindrow",3,FALSE,381960,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies pinsapo",42,TRUE,381963,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies pinsapo subsp. marocana",1,FALSE,381968,"Pinaceae","Abies",NA,NA,"Woody","Perennial"
"Abies procera",13,FALSE,381974,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
