"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","min_fr"
"Abelmoschus esculentus",11,FALSE,2609574,"Malvaceae","Abelmoschus","Annual","Non-Woody","Non-Woody","Annual",1968
"Abies alba",213,TRUE,381621,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1745
"Abies amabilis",6,FALSE,381632,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1850
"Abies balsamea",21,FALSE,381647,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1830
"Abies cephalonica",51,TRUE,381681,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1875
"Abies cilicica",24,FALSE,381699,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",NA
"Abies concolor",28,FALSE,381713,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1856
"Abies firma",3,FALSE,381782,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1905
"Abies fraseri",4,FALSE,381792,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1879
"Abies grandis",21,FALSE,381804,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1890
"Abies holophylla",2,FALSE,381827,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",NA
"Abies homolepis",6,FALSE,381829,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",2016
"Abies koreana",9,FALSE,381844,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1890
"Abies lasiocarpa",13,FALSE,381853,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1890
"Abies magnifica",4,FALSE,381868,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",2005
"Abies nebrodensis",5,TRUE,381902,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",NA
"Abies nephrolepis",2,FALSE,381905,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",NA
"Abies nordmanniana",59,FALSE,381919,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1845
"Abies nordmanniana subsp. equi-trojani",34,FALSE,381924,"Pinaceae","Abies",NA,NA,"Woody","Perennial",NA
"Abies numidica",11,FALSE,381929,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",NA
"Abies pindrow",3,FALSE,381960,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",NA
"Abies pinsapo",42,TRUE,381963,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1949
"Abies pinsapo subsp. marocana",1,FALSE,381968,"Pinaceae","Abies",NA,NA,"Woody","Perennial",NA
"Abies procera",13,FALSE,381974,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1880
"Abies sachalinensis",6,FALSE,381990,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1860
"Abies sibirica",20,TRUE,382001,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1826
"Abies veitchii",8,FALSE,382044,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",2012
"Abies × borisii-regis",9,TRUE,381664,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",NA
"Abutilon fruticosum",1,FALSE,2610628,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial",NA
"Abutilon grandifolium",3,FALSE,2610654,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial",NA
"Abutilon theophrasti",9,FALSE,2611008,"Malvaceae","Abutilon","Annual","Non-Woody","Non-Woody","Annual",1841
"Acacia acinacea",3,FALSE,2611102,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acacia applanata",1,FALSE,2611267,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acacia baileyana",3,FALSE,2611385,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1981
"Acacia cultriformis",5,FALSE,2611815,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1999
"Acacia cyclops",1,FALSE,2611847,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1939
"Acacia dealbata",7,FALSE,2611879,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1847
"Acacia decurrens",2,FALSE,2611901,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1999
"Acacia dentifera",1,FALSE,2611938,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acacia floribunda",1,FALSE,2612237,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acacia ligulata",1,FALSE,2612797,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acacia longifolia",6,FALSE,2612825,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1978
"Acacia mearnsii",3,FALSE,2612952,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1968
"Acacia melanoxylon",1,FALSE,2612971,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1809
"Acacia omalophylla",1,FALSE,2613216,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acacia podalyriifolia",1,FALSE,2613416,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acacia pycnantha",2,FALSE,2613563,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1968
"Acacia retinodes",2,FALSE,2613616,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1962
"Acacia saligna",27,FALSE,2613720,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1688
"Acacia ulicifolia",2,FALSE,2614171,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA
"Acaena magellanica",1,FALSE,2938368,"Rosaceae","Acaena","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Acaena novae-zelandiae",1,FALSE,2938419,"Rosaceae","Acaena","Perennial","Non-Woody","Non-Woody","Perennial",1901
"Acalypha australis",1,FALSE,214,"Euphorbiaceae","Acalypha","Annual","Non-Woody","Non-Woody","Annual",1915
"Acalypha hispida",1,FALSE,689,"Euphorbiaceae","Acalypha","Perennial","Woody","Woody","Perennial",NA
"Acalypha wilkesiana",7,FALSE,1384,"Euphorbiaceae","Acalypha","Perennial","Woody","Woody","Perennial",NA
"Acantholimon avenaceum",1,FALSE,2614618,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA
"Acantholimon caryophyllaceum",1,FALSE,2614658,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA
"Acantholimon libanoticum",1,FALSE,2614805,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA
"Acantholimon ulicinum",1,FALSE,2614968,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA
"Acanthophyllum persicum",1,FALSE,3225392,"Caryophyllaceae","Acanthophyllum",NA,NA,NA,NA,NA
"Acanthospermum hispidum",2,FALSE,2922485,"Asteraceae","Acanthospermum","Annual","Non-Woody","Non-Woody","Annual",1953
"Acanthus hungaricus",2,TRUE,2615256,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial",1998
"Acanthus mollis",11,TRUE,2615276,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial",1820
"Acanthus spinosus",4,TRUE,2615301,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial",1942
"Acer buergerianum",1,FALSE,2615419,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer campestre",249,TRUE,2615447,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1749
"Acer cappadocicum",6,TRUE,2615475,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1977
"Acer cappadocicum subsp. lobelii",2,TRUE,2615485,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer carpinifolium",1,FALSE,2615502,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer circinatum",5,FALSE,2615530,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer davidii",1,FALSE,2615577,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer davidii subsp. grosseri",1,FALSE,2615579,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer glabrum",1,FALSE,2615664,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer granatense",8,TRUE,2615687,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer heldreichii",8,TRUE,2615704,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1996
"Acer heldreichii subsp. trautvetteri",3,TRUE,2615708,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer hyrcanum",4,TRUE,2615738,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer hyrcanum subsp. intermedium",2,TRUE,2615741,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer hyrcanum subsp. stevenii",3,TRUE,2615747,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer japonicum",4,FALSE,2615790,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2008
"Acer macrophyllum",5,FALSE,2615900,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer mandshuricum",1,FALSE,2615913,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer miyabei",1,FALSE,2615945,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer monspessulanum",72,TRUE,2615976,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1930
"Acer monspessulanum subsp. cinerascens",2,FALSE,2615980,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer monspessulanum subsp. ibericum",1,FALSE,2615988,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer monspessulanum subsp. microphyllum",4,FALSE,2615994,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer negundo",42,FALSE,2616024,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1688
"Acer oblongum",1,FALSE,2616086,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer obtusifolium",8,TRUE,2616102,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer opalus",29,TRUE,2616113,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer opalus subsp. obtusatum",14,TRUE,2616128,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer palmatum",8,FALSE,2616153,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1950
"Acer pensylvanicum",3,FALSE,2616210,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2008
"Acer pictum",1,FALSE,2616218,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2008
"Acer platanoides",149,TRUE,2616254,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1905
"Acer pseudoplatanus",227,TRUE,2616276,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1600
