"species","tiles","area"
"Abelmoschus esculentus",63,127814617383.95
"Abies alba",1375,2461693320742.71
"Abies amabilis",34,59157194392.0991
"Abies balsamea",65,84531734674.1158
"Abies cephalonica",106,229585089426.698
"Abies cilicica",6,11560825622.759
"Abies concolor",337,554679005889.901
"Abies firma",5,8709607798.66011
"Abies fraseri",5,10316219283.0268
"Abies grandis",633,1143148600158.68
"Abies holophylla",7,9045832979.77263
"Abies homolepis",31,48769681952.8947
"Abies koreana",118,180607606878.376
"Abies lasiocarpa",52,67546902091.832
"Abies magnifica",2,3295267637.89424
"Abies nebrodensis",6,14218831331.3707
"Abies nephrolepis",1,1596812559.16017
"Abies nordmanniana",531,966692590327.559
"Abies nordmanniana subsp. equi-trojani",531,966692590327.559
"Abies numidica",4,12640414355.7649
"Abies pindrow",3,3136728055.04596
"Abies pinsapo",247,608533336991.314
"Abies pinsapo subsp. marocana",247,608533336991.314
"Abies procera",330,497189238803.773
"Abies sachalinensis",6,6783001514.46717
"Abies sibirica",380,491439707525.005
"Abies veitchii",33,51844321696.345
"Abies × borisii-regis",9,17635481601.0072
"Abutilon grandifolium",12,21639805288.5419
"Abutilon theophrasti",1434,2852072147128.64
"Acacia baileyana",23,43690149616.2403
"Acacia cultriformis",5,10816093730.7171
"Acacia cyclops",18,31680100486.5123
"Acacia dealbata",519,1160144487702.71
"Acacia decurrens",16,31790086054.8962
"Acacia longifolia",97,188820702104.225
"Acacia mearnsii",77,150111959693.204
"Acacia melanoxylon",163,345145836256.521
"Acacia podalyriifolia",1,1711260859.08413
"Acacia pycnantha",56,103709700703.768
"Acacia retinodes",149,276989530695.507
"Acacia saligna",165,295069081192.482
"Acaena magellanica",8,12284459936.2104
"Acaena novae-zelandiae",108,169125917954.129
"Acalypha australis",39,76463785424.7576
"Acalypha hispida",2,4188177897.51843
"Acalypha wilkesiana",2,1860033310.7992
"Acantholimon ulicinum",1,1588429425.68447
"Acanthophyllum persicum",1,3572224493.49669
"Acanthospermum hispidum",6,10768142357.2039
"Acanthus hungaricus",86,130573179717.303
"Acanthus mollis",848,1759572219756.96
"Acanthus spinosus",200,349146731767.948
"Acer buergerianum",12,28368382436.6883
"Acer campestre",1901,3677310514615.85
"Acer cappadocicum",125,236767989907.605
"Acer cappadocicum subsp. lobelii",11,31431800399.6023
"Acer carpinifolium",9,12082896924.0036
"Acer circinatum",6,8325106334.78966
"Acer davidii",29,50333626779.7311
"Acer davidii subsp. grosseri",29,50333626779.7311
"Acer granatense",40,115079760179.924
