plant_species;family;number_herb;number_herb_leaf;AOO;mean_N_per_LDM;EIV-N;EIV-T;EIV-L;plant_height;Woodiness
Abies alba;Pinaceae;213;90;2558.34;12.214211881804752;4.89670025203823;3.68221723622716;3.04121397555945;44.97240611201637;Woody
Acer campestre;Sapindaceae;249;166;8592.960000000001;21.52198575757597;5.79099281662;4.98177019848305;5.0465312707016;12.059729358496382;Woody
Acer monspessulanum;Sapindaceae;72;55;151.98666666666665;19.461907844829163;3.69667193970185;6.08609801798973;5.66638712456507;9.217931315591551;Woody
Acer opalus;Sapindaceae;29;21;NA;32.70000000000001;5.72867451689054;6.16658913669624;5.3725272078136;15.243982444638442;Woody
Acer platanoides;Sapindaceae;149;93;9983.303333333335;19.946874774616603;5.65616877788922;4.41239720014038;3.87198680913025;24.16898877317455;Woody
Acer pseudoplatanus;Sapindaceae;227;158;11859.766666666668;23.434435928282216;6.89185037193308;4.16247910194677;3.79887637416296;4.348172902805738;Woody
Achillea atrata;Asteraceae;4;3;NA;NA;2.9992995724678;0.650689731319742;9.60192199429004;0.1095445115010332;Non-Woody
Achillea clavennae;Asteraceae;12;11;NA;NA;2.9992995724678;1.43722669825003;9.10339493206741;0.1095445115010332;Non-Woody
Achillea macrophylla;Asteraceae;5;4;26.070000000000004;NA;8.15533417750195;1.16867016855968;5.91510390702271;0.447213595499958;Non-Woody
Achillea millefolium;Asteraceae;281;155;12020.836666666668;22.450143617728493;5.04002558596414;3.43472725236906;7.35811652220894;0.13498715352205223;Non-Woody
Achillea pannonica;Asteraceae;8;6;NA;NA;2.76208309173757;5.26257629421336;7.74458814038706;NA;NA
Achillea roseoalba;Asteraceae;2;2;NA;NA;6.02730548906452;4.70476198780018;7.74271589910654;NA;NA
Achillea setacea;Asteraceae;14;8;NA;NA;2.306932189931885;4.915207157713175;8.52430738335531;NA;Non-Woody
Achillea nobilis;Asteraceae;22;12;311.5233333333333;NA;1.62229454147252;5.20862256097106;7.95815495370525;0.4160167646103808;Non-Woody
Achillea ptarmica;Asteraceae;59;33;8621.023333333333;55.44141983552408;3.31611710808362;4.08866978933635;7.51951595926092;0.7085167717989782;Non-Woody
Achillea salicifolia;Asteraceae;10;4;NA;NA;6.32434469537814;3.91002245452488;7.19686344770368;0.406201920231798;Non-Woody
Achnatherum calamagrostis;Poaceae;10;9;87.00666666666666;NA;2.29414466710948;3.861513021606759;8.83701077547262;0.32069693172986885;NA
Aconitum lycoctonum;Ranunculaceae;16;14;1563.7266666666667;NA;7.3519441209189;2.84440505935394;3.98365687530377;1.224744871391589;Non-Woody
Aconitum napellus;Ranunculaceae;21;15;695.12;NA;7.53451452972557;2.90731372140679;6.48106966241947;1.0007938232987688;Non-Woody
Aconitum plicatum;Ranunculaceae;3;2;NA;NA;6.59693816172004;2.31043696856087;6.23439110515083;1.5;Non-Woody
Aconitum tauricum;Ranunculaceae;4;4;NA;NA;6.83111148134201;1.82915214907612;7.30258742169461;NA;Non-Woody
Aconitum degenii;Ranunculaceae;4;4;23.80666666666667;NA;7.41512823089592;1.75324531919724;5.22192387088781;NA;Non-Woody
Aconitum variegatum;Ranunculaceae;15;10;480.7533333333334;NA;7.17476141836866;3.26897737134487;4.89180990383714;1.4070888341971637;Non-Woody
Actaea spicata;Ranunculaceae;16;13;3108.83;23.002826666888897;7.05012538193574;3.5958652300955;2.13535596928178;0.33242791012068934;Non-Woody
Adenophora liliifolia;Campanulaceae;4;2;7.293333333333333;NA;4.30689089817846;4.72535921391139;5.73506725316705;0.5013297934964585;Non-Woody
Adenostyles alliariae;Asteraceae;31;29;389.33;24.963030000000003;7.85193400429651;2.05001924017252;5.24302816927724;0.7147810035294108;Non-Woody
Adenostyles alpina;Asteraceae;18;15;NA;26.043356607934484;5.33728072900162;1.6577405036826;5.22328869703902;0.38154945538445856;Non-Woody
Adonis aestivalis;Ranunculaceae;7;5;23.166666666666668;NA;3.77750727294891;5.15380754177891;6.55114073649741;0.4053600464421103;Non-Woody
Adonis flammea;Ranunculaceae;3;2;NA;NA;3.34373576061343;5.13863657342734;6.37212201046738;0.3872983346207417;Non-Woody
Adonis vernalis;Ranunculaceae;9;5;244.16333333333333;28.1;2.35652188024142;5.20291843673168;7.36526562675656;0.2892507608519078;Non-Woody
Adoxa moschatellina;Viburnaceae;12;12;4904.61;37.24244889907214;7.4267180845286;3.84135710052245;3.51775429321735;0.1128180927925918;Non-Woody
Aegopodium podagraria;Apiaceae;76;58;11981.036666666669;28.466228429765817;7.92410414034594;3.94762838231401;4.1035858872099;0.49038654634930934;Non-Woody
Aethionema saxatile;Brassicaceae;4;2;24.493333333333336;NA;2.04953656657018;4.60731664968846;8.50808645100531;0.08660254037844389;Non-Woody
Aethusa cynapium;Apiaceae;10;5;7345.296666666666;NA;6.75620303073455;4.17093459756256;5.76742335607851;0.6308684291059808;Non-Woody
