"species","mean_longitude","mean_latitude","distance_to_europe_center"
"Abelmoschus esculentus",88.384276733638,22.3640924021144,6217.55032558773
"Abies amabilis",-127.633892248779,49.7960607024922,7685.69148967591
"Abies balsamea",-78.8887147038119,45.8402699506833,6582.89190202901
"Abies cilicica",36.9128105127592,37.0053081386959,2584.64488598099
"Abies concolor",-111.68864971477,37.2724906186181,8657.92022591641
"Abies firma",138.214120033694,37.9061166876332,7454.27427897015
"Abies fraseri",-81.5150642740994,36.314318607086,7592.87787458917
"Abies grandis",-118.31443526124,45.9121037657862,7921.37016676134
"Abies holophylla",129.579480884321,43.2951758237409,6553.47327851165
"Abies homolepis",138.214120033694,37.9061166876332,7454.27427897015
"Abies koreana",127.46334224588,38.6119021619176,6876.74164096173
"Abies lasiocarpa",-118.62138534309,47.8799053077761,7719.33887642881
"Abies magnifica",-118.952886503729,40.2543470897475,8538.13790217021
"Abies nephrolepis",127.193411255666,46.0411584318616,6195.64278503748
"Abies nordmanniana",41.2733422374216,41.4835691037231,2204.58125031968
"Abies nordmanniana subsp. equi-trojani",35.441648478726,39.0283978298971,2339.90609916532
"Abies numidica",2.62912573724812,28.4246627168052,3967.92613046381
"Abies pindrow",73.8698674276701,31.2641961236248,4608.96792010586
"Abies pinsapo subsp. marocana",-6.27937770867659,31.9475329847619,3989.98862149302
"Abies procera",-120.207788103988,42.9187530787249,8283.17695828707
"Abies sachalinensis",148.822322871766,48.7444093717067,6854.10182312946
"Abies veitchii",138.214120033694,37.9061166876332,7454.27427897015
"Abutilon fruticosum",3.67274237833132,15.271446452893,5309.08606961501
"Abutilon grandifolium",-62.8548261178446,-24.5075138667759,12381.3780536516
"Abutilon theophrasti",93.3696678170134,38.9484272155758,5012.21580121522
"Acacia acinacea",142.399257977659,-33.1163329863565,14459.7900106867
"Acacia applanata",122.128257029599,-25.7630820094268,12655.6772810507
"Acacia baileyana",147.015249316696,-32.2527615964019,14643.533252366
"Acacia cultriformis",145.803158365266,-27.4987240415117,14146.456761014
"Acacia cyclops",128.995836581193,-27.9902659452027,13243.8046988168
"Acacia dealbata",145.97879988417,-37.0299425184604,15002.7584113673
"Acacia decurrens",147.015249316696,-32.2527615964019,14643.533252366
"Acacia dentifera",122.128257029599,-25.7630820094268,12655.6772810507
"Acacia floribunda",145.308475071341,-30.6254118549041,14402.0904640706
"Acacia ligulata",136.054171887827,-27.03183944194,13555.0073712993
"Acacia longifolia",143.449953946324,-35.32681935909,14712.8049429153
"Acacia mearnsii",143.449953946324,-35.32681935909,14712.8049429153
"Acacia melanoxylon",143.678176639826,-32.8103927845962,14505.0039354605
