"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status","mean_longitude","mean_latitude","distance_to_europe_center"
"Abies amabilis",6,FALSE,381632,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",34,59157.1943920991,"Accepted",381632,"Abies amabilis",1850,"Genus in Europe",-127.633892248779,49.7960607024922,7476.29590238349
"Abies balsamea",21,FALSE,381647,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",65,84531.7346741158,"Accepted",381647,"Abies balsamea",1830,"Genus in Europe",-78.8887147038119,45.8402699506833,6000.55350710191
"Abies cilicica",24,FALSE,381699,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,11560.825622759,"Accepted",381699,"Abies cilicica",NA,"Genus in Europe",36.9128105127592,37.0053081386959,2912.1626621514
"Abies concolor",28,FALSE,381713,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",337,554679.005889901,"Accepted",381713,"Abies concolor",1856,"Genus in Europe",-111.68864971477,37.2724906186181,8259.30002770022
"Abies firma",3,FALSE,381782,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,8709.60779866011,"Accepted",381782,"Abies firma",1905,"Genus in Europe",138.214120033694,37.9061166876332,8060.8168110573
"Abies fraseri",4,FALSE,381792,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,10316.2192830268,"Accepted",381792,"Abies fraseri",1879,"Genus in Europe",-81.5150642740994,36.314318607086,6975.6409870378
"Abies grandis",21,FALSE,381804,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",633,1143148.60015868,"Accepted",381804,"Abies grandis",1890,"Genus in Europe",-118.31443526124,45.9121037657862,7617.19171367401
"Abies holophylla",2,FALSE,381827,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",7,9045.83297977263,"Accepted",381827,"Abies holophylla",NA,"Genus in Europe",129.579480884321,43.2951758237409,7183.420384774
"Abies homolepis",6,FALSE,381829,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",31,48769.6819528947,"Accepted",381829,"Abies homolepis",2016,"Genus in Europe",138.214120033694,37.9061166876332,8060.8168110573
"Abies koreana",9,FALSE,381844,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",118,180607.606878376,"Accepted",381844,"Abies koreana",1890,"Genus in Europe",127.46334224588,38.6119021619176,7536.42973814298
"Abies lasiocarpa",13,FALSE,381853,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",52,67546.902091832,"Accepted",381853,"Abies lasiocarpa",1890,"Genus in Europe",-118.62138534309,47.8799053077761,7426.63296049933
"Abies magnifica",4,FALSE,381868,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",2,3295.26763789424,"Accepted",381868,"Abies magnifica",2005,"Genus in Europe",-118.952886503729,40.2543470897475,8215.22648473403
"Abies nephrolepis",2,FALSE,381905,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1,1596.81255916017,"Accepted",381905,"Abies nephrolepis",NA,"Genus in Europe",127.193411255666,46.0411584318616,6824.41557406384
"Abies nordmanniana",59,FALSE,381919,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",531,966692.590327559,"Accepted",381919,"Abies nordmanniana",1845,"Genus in Europe",41.2733422374216,41.4835691037231,2669.44073920453
"Abies nordmanniana subsp. equi-trojani",34,FALSE,381924,"Pinaceae","Abies",NA,NA,"Woody","Perennial",531,966692.590327559,"Accepted",381924,"Abies nordmanniana subsp. equi-trojani",NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Abies numidica",11,FALSE,381929,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",4,12640.4143557649,"Accepted",381929,"Abies numidica",NA,"Genus in Europe",2.62912573724812,28.4246627168052,3527.44027524064
