microherbivore_species;n;organ;role;phase
Abacarus acutatus;8;L;V;NA
Abacarus compactus;5;L;V;NA
Abacarus denticulifer;1;L;V;NA
Abacarus hystrix;48;L;G;NA
Abacarus lolii;2;L;V;NA
Abacarus longilobus;7;L;V;NA
Abacarus pliszki;3;L;V;NA
Abacarus plumiger;1;L;V;NA
Abacarus stadelbacheri;2;L;V;NA
Abacarus tucholensis;1;L;V;NA
Abia aenea;3;L;V;NA
Abia aurulenta;1;L;V;NA
Abia brevicornis;2;L;V;NA
Abia candens;3;L;V;NA
Abia fasciata;6;L;V;NA
Abia fulgens;2;L;V;NA
Abia lonicerae;2;L;V;NA
Abia mutica;6;L;V;NA
Abia nitens;8;L;V;NA
Ablaxia parviclava;1;NA;NA;NA
Abraxas grossulariata;13;L;V;NA
Abraxas pantaria;4;L;V;NA
Abraxas sylvata;9;L;V;NA
Abrostola agnorista;1;L;V;NA
Abrostola asclepiadis;1;L;V;NA
Abrostola canariensis;2;L;V;NA
Abrostola tripartita;2;L;V;NA
Abrostola triplasia;2;L;V;NA
Acalitus brevitarsus;5;L;G;NA
Acalitus calycophthirus;2;B;G;NA
Acalitus cotoneastri;2;S;G;NA
Acalitus essigi;2;F;G;NA
Acalitus longisetosus;4;L;G;NA
Acalitus notolius;1;L;G;NA
Acalitus orthomerus;1;B;V;NA
Acalitus phloeocoptes;9;S;G;NA
Acalitus phyllereus;2;L;G;NA
Acalitus plicans;1;L;G;NA
Acalitus prunispinosae;1;S;G;NA
Acalitus rudis;5;L;G;NA
Acalitus stenaspis;2;L;G;NA
Acalyptris lesbia;1;L;M;NA
Acalyptris limonii;1;L;M;NA
Acalyptris loranthella;1;L;M;NA
Acalyptris maritima;1;L;M;NA
Acalyptris minimella;2;L;M;NA
Acalyptris pistaciae;1;L;M;NA
Acalyptris platani;2;L;M;NA
Acalyptris staticis;1;L;M;NA
Acalyptus carpini;8;X;B;larva
Acalyptus sericeus;4;X;B;larva
Acanalonia conica;13;L;V;NA
Acanthiophilus helianthi;64;X;G;NA
Acanthiophilus walkeri;3;X;B;NA
Acanthobruchidius spiniger;1;seeds;B;NA
Acanthochermes quercus;3;L;G;spring
Acanthocinus aedilis;8;DW;B;NA
Acanthocinus griseus;7;DW;B;NA
Acanthocinus henschi;3;DW;B;NA
Acanthocinus hispanicus;3;DW;B;NA
Acanthocinus reticulatus;6;DW;B;NA
Acanthocinus xanthoneurus;2;DW;B;NA
Acanthococcus aceris;16;S;SC;NA
Acanthococcus acutus;3;L;SC;NA
Acanthococcus agropyri;10;L;SC;NA
Acanthococcus ammophilus;1;U;SC;NA
Acanthococcus araucariae;1;NA;SC;NA
Acanthococcus artiguesi;1;R;SC;NA
Acanthococcus baldonensis;5;S;SC;NA
Acanthococcus bezzii;1;U;SC;NA
Acanthococcus brevenniae;1;R;SC;NA
Acanthococcus cantium;1;L;SC;NA
Acanthococcus centaurea;1;U;SC;NA
Acanthococcus ericae;6;U;SC;NA
Acanthococcus formicicola;6;L;SC;NA
Acanthococcus glanduliferus;2;U;SC;NA
Acanthococcus granulatus;2;L;SC;NA
Acanthococcus greeni;22;L;SC;NA
Acanthococcus herbaceus;6;U;SC;NA
Acanthococcus inermis;5;L;SC;NA
Acanthococcus macedoniensis;3;S;SC;NA
Acanthococcus mariannae;1;L;SC;NA
Acanthococcus melnikensis;4;S;SC;NA
Acanthococcus roboris;10;S;SC;NA
Acanthococcus rosannae;1;S;SC;NA
Acanthococcus salicis;1;U;U;NA
Acanthococcus socialis;1;L;SC;NA
Acanthococcus targassonensis;1;R;SC;NA
