"taxon_name","min_fr"
"Abelmoschus esculentus",1968
"Abies alba",1745
"Abies amabilis",1850
"Abies balsamea",1830
"Abies cephalonica",1875
"Abies concolor",1856
"Abies firma",1905
"Abies fraseri",1879
"Abies grandis",1890
"Abies homolepis",2016
"Abies koreana",1890
"Abies lasiocarpa",1890
"Abies magnifica",2005
"Abies mariesii",1860
"Abies nordmanniana",1845
"Abies pinsapo",1949
"Abies procera",1880
"Abies sachalinensis",1860
"Abies sibirica",1826
"Abies veitchii",2012
"Abies × insignis",1949
"Abronia fragrans",1858
"Abutilon theophrasti",1841
"Acacia baileyana",1981
"Acacia cultriformis",1999
"Acacia cyclops",1939
"Acacia dealbata",1847
"Acacia decurrens",1999
"Acacia longifolia",1978
"Acacia mearnsii",1968
"Acacia melanoxylon",1809
"Acacia pycnantha",1968
"Acacia retinodes",1962
"Acacia saligna",1688
"Acacia verticillata",1963
"Acaena anserinifolia",1914
"Acaena caesiiglauca",1827
"Acaena inermis",1968
"Acaena microphylla",1997
"Acaena novae-zelandiae",1901
"Acaena ovalifolia",1921
"Acalypha australis",1915
"Acalypha brachystachya",2007
"Acalypha indica",2000
"Acalypha virginica",1945
"Acanthospermum hispidum",1953
"Acanthus hungaricus",1998
"Acanthus mollis",1820
"Acanthus spinosus",1942
"Acer barbinerve",1993
"Acer campestre",1749
"Acer cappadocicum",1977
"Acer cissifolium",2010
"Acer heldreichii",1996
"Acer japonicum",2008
"Acer monspessulanum",1930
"Acer negundo",1688
"Acer palmatum",1950
"Acer pensylvanicum",2008
"Acer pictum",2008
"Acer platanoides",1905
"Acer pseudoplatanus",1600
"Acer pseudosieboldianum",2017
"Acer rubrum",2006
"Acer rufinerve",1990
"Acer saccharinum",1807
"Acer saccharum",1912
"Acer sieboldianum",2008
"Acer spicatum",1931
"Acer tataricum",1805
"Acer tegmentosum",1897
"Achillea ageratum",1945
"Achillea crithmifolia",1760
"Achillea distans",1844
"Achillea filipendulina",1870
"Achillea grandifolia",1945
"Achillea ligustica",1900
"Achillea macrophylla",1950
"Achillea micrantha",1930
"Achillea millefolium",1662
"Achillea nobilis",1700
"Achillea ptarmica",1838
"Achillea salicifolia",1874
"Achillea salicifolia subsp. salicifolia",1944
"Achillea setacea",1885
"Achillea tomentosa",1895
"Achnatherum bromoides",1824
"Achnatherum calamagrostis",1835
"Achyranthes aspera var. sicula",1887
"Acmella oleracea",1886
"Acmispon glaber",1866
"Aconitum lasiostomum",1993
"Aconitum lycoctonum",1880
"Aconitum napellus",1807
"Aconitum plicatum subsp. plicatum",1905
"Aconitum variegatum",1851
"Aconitum × cammarum",1819
"Acorus calamus",1500
"Acorus gramineus",1977
"Actaea racemosa",1993
"Actaea rubra",1900
"Actinidia arguta",1993
"Actinidia chinensis",1972
"Actinidia chinensis var. deliciosa",2000
"Actinidia kolomikta",1991
"Adenocaulon himalaicum",1980
"Adenophora gmelinii",2005
"Adenostyles alliariae",1953
"Adiantum aleuticum",2001
"Adiantum capillus-veneris",1993
"Adiantum polyphyllum",2000
"Adiantum raddianum",2003
"Adlumia fungosa",1927
"Adonis annua",1548
"Adonis flammea",1807
"Adoxa moschatellina",1863
"Aegilops cylindrica",1854
"Aegilops geniculata",1854
"Aegilops speltoides",1937
"Aegilops tauschii",1962
"Aegilops triuncialis",1835
"Aegilops ventricosa",1835
"Aegopodium podagraria",1578
"Aeluropus littoralis",1853
"Aeonium arboreum",1661
"Aeonium cuneatum",1963
"Aeonium haworthii",1994
"Aeschynomene americana",1999
"Aeschynomene indica",1946
"Aesculus flava",1813
"Aesculus hippocastanum",1600
"Aesculus indica",1989
"Aesculus parviflora",1996
"Aesculus pavia",1959
"Aesculus × carnea",1955
"Aethusa cynapium",1600
"Agapanthus praecox",1939
"Agastache foeniculum",1998
"Agastache rugosa",1959
"Agastache urticifolia",1985
"Agave americana",1599
"Agave atrovirens",1975
"Agave sisalana",1940
"Ageratina adenophora",1940
"Ageratina altissima",1908
"Ageratina havanensis",1953
"Ageratum houstonianum",1908
"Agrimonia procera",1827
"Agrimonia repens",1827
"Agropyron cristatum",1823
"Agropyron dasyanthum",1962
"Agropyron desertorum",1965
"Agropyron fragile",1962
"Agrostemma brachylobum",1954
"Agrostemma githago",400
"Agrostis capillaris",1983
"Agrostis castellana",1904
"Agrostis exarata",1891
"Agrostis gigantea",1796
"Agrostis hyemalis",1913
"Agrostis nebulosa",1881
"Agrostis scabra",1892
"Agrostis stolonifera",1874
"Agrostis × bjoerkmannii",1855
"Agrostis × dimorpholemma",1975
"Agrostis × sanionis",1973
"Aichryson laxum",1909
"Ailanthus altissima",1786
"Aira caryophyllea",1898
"Aira elegans",1852
"Ajuga chamaepitys",1551
"Ajuga genevensis",1839
"Akebia quinata",1836
"Albizia julibrissin",1745
"Alcea biennis",1938
"Alcea rosea",1804
"Alcea rugosa",1940
"Alcea setosa",1922
"Alchemilla arvensis",1870
"Alchemilla baltica",1992
"Alchemilla conjuncta",1812
"Alchemilla cymatophylla",1938
"Alchemilla heptagona",1938
"Alchemilla micans",1950
"Alchemilla mollis",1938
"Alchemilla plicata",1906
"Alchemilla propinqua",1938
"Alchemilla sarmatica",1939
"Alchemilla semilunaris",1999
"Alchemilla speciosa",1893
"Alchemilla subcrenata",1957
"Alchemilla subglobosa",1927
"Alchemilla tytthantha",1876
"Alchemilla venosa",1963
"Alchemilla wichurae",1939
"Alhagi maurorum",1963
"Alisma subcordatum",2017
"Alkanna primuliflora",1902
"Alkekengi officinarum",1650
"Alliaria petiolata",1935
"Allium ampeloprasum",1688
"Allium angulosum",1905
"Allium atropurpureum",1946
"Allium atroviolaceum",1922
"Allium caeruleum",1857
"Allium carinatum",1811
"Allium cepa",1749
"Allium cristophii",1850
"Allium fistulosum",1807
"Allium hollandicum",1973
"Allium karataviense",1980
"Allium lusitanicum",1962
"Allium macleanii",1885
"Allium moly",1838
"Allium multiflorum",1857
"Allium neapolitanum",1864
"Allium nigrum",1850
"Allium oleraceum",1874
"Allium paniculatum",2004
"Allium paradoxum",1642
"Allium pendulinum",1948
"Allium porrum",1820
"Allium ramosum",1866
"Allium roseum",1836
"Allium rotundum",1973
"Allium sativum",1830
"Allium schoenoprasum",1820
"Allium scorodoprasum",1829
"Allium siculum",1906
"Allium sphaerocephalon",1836
"Allium stipitatum",2008
"Allium subhirsutum",1954
"Allium triquetrum",1804
"Allium tuberosum",1866
"Allium unifolium",1985
"Allium victorialis",1957
"Allium zebdanense",1996
"Alnus alnobetula",1853
"Alnus cordata",1869
"Alnus incana",1817
"Alnus rubra",1968
"Alnus × elliptica",2006
"Alnus × pubescens",1950
"Alnus × spaethii",2003
"Aloe arborescens",1980
"Aloe maculata",1986
"Aloe vera",1896
"Alonsoa linearis",1945
"Alopecurus aequalis",1989
"Alopecurus bulbosus",1906
"Alopecurus carolinianus",1921
"Alopecurus geniculatus",2013
"Alopecurus magellanicus",1904
"Alopecurus myosuroides",1597
"Alopecurus pratensis",1902
"Alopecurus rendlei",1826
"Alopecurus utriculatus",1935
"Alstroemeria aurea",1950
"Alternanthera angustifolia",1895
"Alternanthera caracasana",1895
"Alternanthera denticulata",1895
"Alternanthera ficoidea",1908
"Alternanthera paronychioides",1911
"Alternanthera philoxeroides",1986
"Alternanthera pungens",1911
"Alternanthera sessilis",1911
"Althaea armeniaca",1966
"Althaea cannabina",1840
"Althaea officinalis",1866
"Alyssum alyssoides",0
"Alyssum hirsutum",1894
"Alyssum montanum",1850
"Alyssum rostratum",1897
"Alyssum simplex",1850
"Alyssum strigosum",1909
"Alyssum turkestanicum",1864
"Amaranthus albus",1834
"Amaranthus blitoides",1835
"Amaranthus blitum",1771
"Amaranthus blitum subsp. emarginatus",1889
"Amaranthus californicus",1931
"Amaranthus capensis",1874
"Amaranthus caudatus",1780
"Amaranthus clementii",1884
"Amaranthus crispus",1852
"Amaranthus cruentus",1830
"Amaranthus deflexus",1830
"Amaranthus graecizans",1826
"Amaranthus hybridus",1853
"Amaranthus hybridus subsp. hybridus",1950
"Amaranthus hybridus subsp. quitensis",1898
"Amaranthus hypochondriacus",1791
"Amaranthus macrocarpus",1892
"Amaranthus mitchellii",1892
"Amaranthus muricatus",1850
"Amaranthus palmeri",1831
"Amaranthus polygonoides",1957
"Amaranthus powellii",1853
"Amaranthus retroflexus",1760
"Amaranthus scleropoides",1887
"Amaranthus spinosus",1883
"Amaranthus standleyanus",1830
"Amaranthus thunbergii",1857
"Amaranthus tricolor",1877
"Amaranthus tuberculatus",1905
"Amaranthus viridis",1780
"Amaranthus × ozanonii",1906
"Amaranthus × tamariscinus",1945
"Amaryllis belladonna",1887
"Amberboa moschata",1883
"Ambrosia artemisiifolia",1700
"Ambrosia polystachya",1829
"Ambrosia psilostachya",1700
"Ambrosia trifida",1700
"Amelanchier alnifolia",1905
"Amelanchier canadensis",1900
"Amelanchier humilis",1820
"Amelanchier laevis",1996
"Amelanchier ovalis",1921
"Amelanchier × lamarckii",1867
"Amelanchier × spicata",1820
"Amethystea caerulea",1907
"Ammannia coccinea",1874
"Ammi majus",1813
"Ammobium alatum",1942
"Amorpha fruticosa",1724
"Ampelodesmos mauritanicus",1952
"Ampelopsis glandulosa",1880
"Amphiachyris dracunculoides",1911
"Amphibromus neesii",1904
"Amphibromus recurvatus",1840
"Amsinckia calycina",1997
"Amsinckia eastwoodiae",1924
"Amsinckia lycopsoides",1874
"Amsinckia menziesii",1805
"Amsinckia tessellata",1850
"Anacyclus clavatus",1700
"Anacyclus pyrethrum",1936
"Anacyclus radiatus",1893
"Anacyclus valentinus",1850
"Anaphalioides bellidioides",1975
"Anaphalis margaritacea",1709
"Anaphalis triplinervis",2019
"Anarrhinum bellidifolium",1957
"Anchusa arvensis",1629
"Anchusa azurea",1609
"Anchusa leptophylla",1950
"Anchusa ochroleuca",1828
"Anchusa officinalis",1799
"Anchusa procera",1904
"Andrachne telephioides",1947
"Andropogon virginicus",1885
"Androsace elongata",1800
"Androsace intermedia",1904
"Androsace maxima",1926
"Andryala integrifolia",1828
"Anemanthele lessoniana",1974
"Anemonastrum canadense",1980
"Anemone coronaria",1825
"Anemonoides apennina",1724
"Anemonoides blanda",1966
"Anemonoides nemorosa",1908
"Anemonoides ranunculoides",1778
"Anemonoides sylvestris",1869
"Anethum graveolens",1777
"Angelica archangelica",1517
"Angelica pachycarpa",1993
"Anoda crenatiflora",1990
"Anoda cristata",1930
"Anredera cordifolia",1961
"Anthemis arvensis",1597
"Anthemis cotula",1523
"Anthemis cretica",1871
"Anthemis cupaniana",1923
"Anthemis punctata",1923
"Anthemis rumelica",1828
"Anthemis ruthenica",1700
"Anthemis tomentosa",1869
"Anthosachne scabra",1895
"Anthoxanthum aristatum",1837
"Anthoxanthum nitens",1907
"Anthoxanthum odoratum",1898
"Anthriscus caucalis",1700
"Anthriscus cerefolium",1200
"Anthriscus fumarioides",1784
"Anthriscus sylvestris",1899
"Anthyllis lotoides",1933
"Anthyllis vulneraria",1700
"Antirrhinum graniticum",1846
"Antirrhinum majus",1762
"Apera intermedia",1818
"Apera interrupta",1818
"Apera spica-venti",1632
"Apios americana",1985
"Apium graveolens",1658
"Aponogeton distachyos",1889
"Aposeris foetida",1962
"Apteranthes europaea",1940
"Aquilegia bertolonii",1934
"Aquilegia chrysantha",2017
"Aquilegia pyrenaica",1895
"Aquilegia vulgaris",1744
"Arabidopsis arenosa",1816
"Arabidopsis halleri",1881
"Arabidopsis suecica",1700
"Arabis allionii",1990
"Arabis alpina",1850
"Arabis auriculata",1850
"Arabis blepharophylla",1982
"Arabis caucasica",1658
"Arabis collina",1850
"Arabis planisiliqua",1745
"Arabis procurrens",1853
"Arachis hypogaea",1906
"Aralia chinensis",1990
"Aralia cordata",1999
"Aralia elata",1803
"Aralia racemosa",1875
"Aralia spinosa",2010
"Araucaria araucana",1843
"Araujia sericifera",1858
"Arbutus unedo",2012
"Arctium lappa",1548
"Arctium minus",1700
"Arctium nemorosum",1818
"Arctium tomentosum",1658
"Arctium × nothum",1955
"Arctotheca calendula",1804
"Arctotis stoechadifolia",1956
"Aremonia agrimonoides",1852
"Arenaria balearica",1805
"Arenaria leptoclados",1869
"Arenaria montana",1865
"Argemone mexicana",1798
"Argyranthemum frutescens",1872
"Aria edulis",1963
"Aria graeca",1910
"Aria rupicola",2004
"Arisarum proboscideum",1872
"Aristaloe aristata",1995
"Aristea ecklonii",1977
"Aristida adscensionis",1939
"Aristida congesta",1884
"Aristida hordeacea",1884
"Aristida longespica",1891
"Aristolochia clematitis",1300
"Aristolochia hirta",1969
"Aristolochia hockii",1995
"Aristolochia iquitensis",1934
"Aristolochia rotunda",1811
"Aristolochia sempervirens",1994
"Armeria arenaria",1851
"Armeria maritima",1890
"Armoracia rusticana",1548
"Arnebia decumbens",1850
"Arnica chamissonis",1658
"Arnica mollis",1991
"Arnoseris minima",1581
"Aronia arbutifolia",1975
"Aronia melanocarpa",1824
"Aronia × prunifolia",1797
"Arrhenatherum elatius",1867
"Artemisia abrotanum",1548
"Artemisia absinthium",1551
"Artemisia afra",1891
"Artemisia alba",1965
"Artemisia alpina",2008
"Artemisia annua",1835
"Artemisia argyi",1988
"Artemisia austriaca",1807
"Artemisia biennis",1890
"Artemisia campestris",1851
"Artemisia dracunculus",1807
"Artemisia dubia",1955
"Artemisia latifolia",1997
"Artemisia ludoviciana",1850
"Artemisia maritima",1882
"Artemisia michauxiana",1904
"Artemisia oliveriana",1992
"Artemisia pontica",1700
"Artemisia princeps",1911
"Artemisia scoparia",1901
"Artemisia selengensis",1927
"Artemisia sieversiana",1805
"Artemisia stelleriana",1792
"Artemisia tournefortiana",1858
"Artemisia umbrosa",1955
"Artemisia verlotiorum",1895
"Artemisia vulgaris",1551
"Artemisia × wurzellii",1987
"Arum italicum",1799
"Arum maculatum",1700
"Aruncus dioicus",1800
"Arundo donax",1846
"Asarina procumbens",1938
"Asarum canadense",2007
"Asarum europaeum",1640
"Asclepias curassavica",1948
"Asclepias incarnata",1987
"Asclepias syriaca",1786
"Asparagus acutifolius",1928
"Asparagus asparagoides",1898
"Asparagus officinalis",1597
"Asparagus tenuifolius",1931
"Asperugo procumbens",1600
"Asperula arvensis",1803
"Asperula laevigata",1823
"Asperula orientalis",1880
"Asperula taurina",1835
"Asperula tinctoria",1835
"Asphodelus albus",1971
"Asphodelus fistulosus",1887
"Asphodelus tenuifolius",1887
"Asplenium ceterach",1940
"Asplenium forisiense",2017
"Asplenium scolopendrium",1820
"Aster ageratoides",1951
"Aster alpinus",1967
"Aster amellus",1807
"Aster biennis",1988
"Aster × frikartii",2005
"Asteriscus aquaticus",1909
