"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status"
"Abies amabilis",6,FALSE,381632,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",34,59157.1943920991,"Accepted",381632,"Abies amabilis",1850,"Genus in Europe"
"Abies balsamea",21,FALSE,381647,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",65,84531.7346741158,"Accepted",381647,"Abies balsamea",1830,"Genus in Europe"
"Abies cilicica",24,FALSE,381699,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,11560.825622759,"Accepted",381699,"Abies cilicica",NA,"Genus in Europe"
"Abies concolor",28,FALSE,381713,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",337,554679.005889901,"Accepted",381713,"Abies concolor",1856,"Genus in Europe"
"Abies firma",3,FALSE,381782,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,8709.60779866011,"Accepted",381782,"Abies firma",1905,"Genus in Europe"
"Abies fraseri",4,FALSE,381792,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",5,10316.2192830268,"Accepted",381792,"Abies fraseri",1879,"Genus in Europe"
"Abies grandis",21,FALSE,381804,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",633,1143148.60015868,"Accepted",381804,"Abies grandis",1890,"Genus in Europe"
"Abies holophylla",2,FALSE,381827,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",7,9045.83297977263,"Accepted",381827,"Abies holophylla",NA,"Genus in Europe"
"Abies homolepis",6,FALSE,381829,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",31,48769.6819528947,"Accepted",381829,"Abies homolepis",2016,"Genus in Europe"
"Abies koreana",9,FALSE,381844,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",118,180607.606878376,"Accepted",381844,"Abies koreana",1890,"Genus in Europe"
"Abies lasiocarpa",13,FALSE,381853,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",52,67546.902091832,"Accepted",381853,"Abies lasiocarpa",1890,"Genus in Europe"
"Abies magnifica",4,FALSE,381868,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",2,3295.26763789424,"Accepted",381868,"Abies magnifica",2005,"Genus in Europe"
"Abies nephrolepis",2,FALSE,381905,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",1,1596.81255916017,"Accepted",381905,"Abies nephrolepis",NA,"Genus in Europe"
"Abies nordmanniana",59,FALSE,381919,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",531,966692.590327559,"Accepted",381919,"Abies nordmanniana",1845,"Genus in Europe"
"Abies nordmanniana subsp. equi-trojani",34,FALSE,381924,"Pinaceae","Abies",NA,NA,"Woody","Perennial",531,966692.590327559,"Accepted",381924,"Abies nordmanniana subsp. equi-trojani",NA,"Genus in Europe"
"Abies numidica",11,FALSE,381929,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",4,12640.4143557649,"Accepted",381929,"Abies numidica",NA,"Genus in Europe"
"Abies pindrow",3,FALSE,381960,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",3,3136.72805504596,"Accepted",381960,"Abies pindrow",NA,"Genus in Europe"
"Abies pinsapo subsp. marocana",1,FALSE,381968,"Pinaceae","Abies",NA,NA,"Woody","Perennial",247,608533.336991314,"Accepted",381968,"Abies pinsapo subsp. marocana",NA,"Genus in Europe"
"Abies procera",13,FALSE,381974,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",330,497189.238803773,"Accepted",381974,"Abies procera",1880,"Genus in Europe"
