plant_species;match_type;multiple_matches;match_similarity;match_edit_distance;wcvp_id;wcvp_name;wcvp_authors;wcvp_rank;wcvp_status;wcvp_homotypic;wcvp_ipni_id;wcvp_accepted_id
Bromopsis inermis;Exact (without author);FALSE;1;0;400472;Bromopsis inermis;(Leyss.) Holub;Species;Synonym;TRUE;393432-1;401195
Calamagrostis arundinacea;Exact (without author);TRUE;1;0;402396;Calamagrostis arundinacea;(L.) Roth;Species;Accepted;NA;1036939-2;402396
Calamagrostis arundinacea;Exact (without author);TRUE;1;0;402283;Calamagrostis × arundinacea;Wibel;Species;Illegitimate;NA;394308-1;402278
Calamagrostis canescens;Exact (without author);FALSE;1;0;402519;Calamagrostis canescens;(Weber) Roth;Species;Accepted;NA;77145450-1;402519
Calamagrostis epigeios;Fuzzy (edit distance);FALSE;0.955;1;402643;Calamagrostis epigejos;(L.) Roth;Species;Accepted;NA;394433-1;402643
Dactylis glomerata;Exact (without author);FALSE;1;0;406640;Dactylis glomerata;L.;Species;Accepted;NA;397309-1;406640
Echinochloa crus-galli;Exact (without author);FALSE;1;0;410191;Echinochloa crus-galli;(L.) P.Beauv.;Species;Accepted;NA;399660-1;410191
Festuca rubra;Exact (without author);FALSE;1;0;416502;Festuca rubra;L.;Species;Accepted;NA;30010036-2;416502
Holcus lanatus;Exact (without author);FALSE;1;0;419046;Holcus lanatus;L.;Species;Accepted;NA;405034-1;419046
Bromus hordeaceus;Exact (without author);TRUE;1;0;401143;Bromus hordeaceus;L.;Species;Accepted;NA;30016331-2;401143
Bromus hordeaceus;Exact (without author);TRUE;1;0;401144;Bromus hordeaceus;C.C.Gmel.;Species;Illegitimate;NA;393771-1;401862
Festuca ovina;Exact (without author);FALSE;1;0;415853;Festuca ovina;L.;Species;Accepted;NA;403212-1;415853
Lolium multiflorum;Exact (without author);FALSE;1;0;422833;Lolium multiflorum;Lam.;Species;Accepted;NA;407486-1;422833
Lolium perenne;Exact (without author);FALSE;1;0;422848;Lolium perenne;L.;Species;Accepted;NA;407493-1;422848
Agropyron cristatum subsp. ponticum;Exact (without author);FALSE;1;0;388338;Agropyron cristatum subsp. ponticum;(Nevski) Tzvelev;Subspecies;Synonym;NA;881298-1;388313
Agropyron cristatum;Exact (without author);FALSE;1;0;388313;Agropyron cristatum;(L.) Gaertn.;Species;Accepted;NA;7365-2;388313
Agrostis capillaris;Exact (without author);FALSE;1;0;387729;Agrostis capillaris;L.;Species;Accepted;NA;30197865-2;387729
Agrostis gigantea;Exact (without author);FALSE;1;0;389634;Agrostis gigantea;Roth;Species;Accepted;NA;385783-1;389634
Agrostis stolonifera;Exact (without author);TRUE;1;0;390383;Agrostis stolonifera;L.;Species;Accepted;NA;386353-1;390383
Agrostis stolonifera;Exact (without author);TRUE;1;0;390384;Agrostis stolonifera;Leers;Species;Misapplied;NA;386354-1;476498
Alopecurus pratensis;Exact (without author);TRUE;1;0;391506;Alopecurus pratensis;L.;Species;Accepted;NA;387176-1;391506
Alopecurus pratensis;Exact (without author);TRUE;1;0;391507;Alopecurus pratensis;Bourg. ex Lange;Species;Invalid;NA;387175-1;391321
Anisantha sterilis;Exact (without author);FALSE;1;0;393727;Anisantha sterilis;(L.) Nevski;Species;Synonym;TRUE;388823-1;402009
Anisantha tectorum;Exact (without author);FALSE;1;0;393729;Anisantha tectorum;(L.) Nevski;Species;Synonym;TRUE;388824-1;402067
Apera spica-venti;Exact (without author);FALSE;1;0;394118;Apera spica-venti;(L.) P.Beauv.;Species;Accepted;NA;1122912-2;394118
Arrhenatherum elatius;Exact (without author);FALSE;1;0;395388;Arrhenatherum elatius;(L.) P.Beauv. ex J.Presl & C.Presl;Species;Accepted;NA;389923-1;395388
Avena sativa;Exact (without author);FALSE;1;0;397860;Avena sativa;L.;Species;Accepted;NA;391732-1;397860
Avenula pubescens;Exact (without author);FALSE;1;0;398317;Avenula pubescens;(Huds.) Dumort.;Species;Accepted;NA;392028-1;398317
Bromopsis erecta;Exact (without author);FALSE;1;0;400455;Bromopsis erecta;(Huds.) Fourr.;Species;Synonym;TRUE;393422-1;400948
Bromopsis ramosa;Exact (without author);FALSE;1;0;400537;Bromopsis ramosa;(Huds.) Holub;Species;Synonym;TRUE;393463-1;401751
Ceratochloa carinata;Exact (without author);FALSE;1;0;404098;Ceratochloa carinata;(Hook. & Arn.) Tutin;Species;Synonym;TRUE;395394-1;400793
Corynephorus canescens;Exact (without author);FALSE;1;0;405825;Corynephorus canescens;(L.) P.Beauv.;Species;Accepted;NA;396681-1;405825
Elytrigia intermedia;Exact (without author);FALSE;1;0;411846;Elytrigia intermedia;(Host) Nevski;Species;Synonym;TRUE;400549-1;446496
Elytrigia repens;Exact (without author);FALSE;1;0;411910;Elytrigia repens;(L.) Nevski;Species;Synonym;TRUE;400585-1;411505
Festulolium braunii;Exact (without author);FALSE;1;0;387081;× Festulolium braunii;(K.Richt.) A.Camus;Species;Synonym;NA;1100074-2;525705
Festulolium loliaceum;Exact (without author);FALSE;1;0;387085;× Festulolium loliaceum;(Huds.) P.Fourn.;Species;Synonym;NA;1189383-2;525705
Helictochloa pratensis;Exact (without author);FALSE;1;0;468424;Helictochloa pratensis;(L.) Romero Zarco;Species;Accepted;NA;77113502-1;468424
Hordeum brevisubulatum;Exact (without author);FALSE;1;0;419222;Hordeum brevisubulatum;(Trin.) Link;Species;Accepted;NA;405167-1;419222
Hordeum murinum;Exact (without author);FALSE;1;0;419414;Hordeum murinum;L.;Species;Accepted;NA;405301-1;419414
Hordeum vulgare;Exact (without author);FALSE;1;0;419563;Hordeum vulgare;L.;Species;Accepted;NA;405391-1;419563
Leymus arenarius;Exact (without author);FALSE;1;0;422570;Leymus arenarius;(L.) Hochst.;Species;Accepted;NA;407309-1;422570
Lolium x hybridum;Exact (without author);FALSE;1;0;422754;Lolium × hybridum;Hausskn.;Species;Synonym;NA;407468-1;422771
Melica nutans;Exact (without author);TRUE;1;0;423708;Melica nutans;L.;Species;Accepted;NA;408086-1;423708
Melica nutans;Exact (without author);TRUE;1;0;423709;Melica nutans;Lam.;Species;Illegitimate;NA;408087-1;423858
Melica uniflora;Exact (without author);FALSE;1;0;423858;Melica uniflora;Retz.;Species;Accepted;NA;408184-1;423858
Ochlopoa annua;Exact (without author);FALSE;1;0;426101;Ochlopoa annua;(L.) H.Scholz;Species;Synonym;TRUE;77075710-1;435194
Phalaroides arundinacea;Exact (without author);FALSE;1;0;433591;Phalaroides arundinacea;(L.) Rauschert;Species;Synonym;TRUE;415691-1;433393
Phleum pratense;Exact (without author);FALSE;1;0;433846;Phleum pratense;L.;Species;Accepted;NA;415868-1;433846
Poa angustifolia;Exact (without author);TRUE;1;0;435167;Poa angustifolia;L.;Species;Accepted;NA;320037-2;435167
Poa angustifolia;Exact (without author);TRUE;1;0;435169;Poa angustifolia;Wahlenb.;Species;Illegitimate;NA;416496-1;436739
Poa angustifolia;Exact (without author);TRUE;1;0;435168;Poa angustifolia;Elliott;Species;Illegitimate;NA;325286-2;545005
Poa angustifolia;Exact (without author);TRUE;1;0;435170;Poa angustifolia;Ucria;Species;Illegitimate;NA;416494-1;437547
Poa pratensis;Exact (without author);FALSE;1;0;436906;Poa pratensis;L.;Species;Accepted;NA;417792-1;436906
Puccinellia distans;Exact (without author);FALSE;1;0;438643;Puccinellia distans;(Jacq.) Parl.;Species;Accepted;NA;1026660-2;438643
Schedonorus arundinaceus;Exact (without author);TRUE;1;0;441134;Schedonorus arundinaceus;(Schreb.) Dumort.;Species;Synonym;TRUE;1190051-2;422765
Schedonorus arundinaceus;Exact (without author);TRUE;1;0;441133;Schedonorus arundinaceus;Roem. & Schult.;Species;Synonym;NA;420750-1;441710
Schedonorus giganteus;Exact (without author);FALSE;1;0;441158;Schedonorus giganteus;(L.) Holub;Species;Synonym;TRUE;1002646-1;422802
Schedonorus pratensis;Exact (without author);FALSE;1;0;441186;Schedonorus pratensis;(Huds.) P.Beauv.;Species;Synonym;TRUE;1203520-2;422867
Sesleria caerulea;Exact (without author);FALSE;1;0;441982;Sesleria caerulea;(L.) Ard.;Species;Accepted;NA;1005554-2;441982
Triticale rimpaui;Exact (without author);FALSE;1;0;387225;× Triticale rimpaui;(M.Graebn.) Lindschau & E.Oehler;Species;Synonym;TRUE;77248283-1;387229
Triticum aestivum;Exact (without author);FALSE;1;0;448365;Triticum aestivum;L.;Species;Accepted;NA;332110-2;448365
Eremopyrum orientale;Exact (without author);FALSE;1;0;413507;Eremopyrum orientale;(L.) Jaub. & Spach;Species;Accepted;NA;401783-1;413507
Trisetum flavescens;Exact (without author);FALSE;1;0;447850;Trisetum flavescens;(L.) P.Beauv.;Species;Accepted;NA;425194-1;447850
Rubus caesius;Exact (without author);TRUE;1;0;2977789;Rubus caesius;L.;Species;Accepted;NA;735608-1;2977789
