"species","usageKey"
"Abelmoschus esculentus",3152707
"Abies alba",2685484
"Abies amabilis",2685524
"Abies balsamea",2685383
"Abies cephalonica",2685326
"Abies cilicica",2685628
"Abies concolor",2685580
"Abies firma",2685414
"Abies fraseri",2685318
"Abies grandis",2685361
"Abies holophylla",2685542
"Abies homolepis",2685663
"Abies koreana",2685681
"Abies lasiocarpa",2685313
"Abies magnifica",2685422
"Abies nebrodensis",2685577
"Abies nephrolepis",2685601
"Abies nordmanniana",2685552
"Abies nordmanniana subsp. equi-trojani",2685552
"Abies numidica",2685546
"Abies pindrow",2685683
"Abies pinsapo",2685464
"Abies pinsapo subsp. marocana",2685464
"Abies procera",2685308
"Abies sachalinensis",2685437
"Abies sibirica",2685654
"Abies veitchii",2685400
"Abies × borisii-regis",2685519
"Abutilon fruticosum",3152629
"Abutilon grandifolium",3152633
"Abutilon theophrasti",3152614
"Acacia acinacea",2979868
"Acacia applanata",2978404
"Acacia baileyana",2981303
"Acacia cultriformis",2979559
"Acacia cyclops",2980425
"Acacia dealbata",2979474
"Acacia decurrens",2979778
"Acacia dentifera",2979648
"Acacia floribunda",2979745
"Acacia ligulata",2981177
"Acacia longifolia",2978730
"Acacia mearnsii",2979775
"Acacia melanoxylon",2979000
"Acacia omalophylla",2981255
"Acacia podalyriifolia",2979014
"Acacia pycnantha",2978604
"Acacia retinodes",2979408
"Acacia saligna",2978552
"Acacia ulicifolia",2978369
"Acaena magellanica",5370832
"Acaena novae-zelandiae",5370755
"Acalypha australis",3056835
"Acalypha hispida",3056375
"Acalypha wilkesiana",3057221
"Acantholimon avenaceum",4088726
"Acantholimon caryophyllaceum",7298236
"Acantholimon libanoticum",4089266
"Acantholimon ulicinum",7298136
"Acanthophyllum persicum",9410246
"Acanthospermum hispidum",3100375
"Acanthus hungaricus",8116963
"Acanthus mollis",5415455
"Acanthus spinosus",5415453
"Acer buergerianum",7100404
"Acer campestre",3189863
"Acer cappadocicum",7262908
"Acer cappadocicum subsp. lobelii",8044830
"Acer carpinifolium",3768602
"Acer circinatum",3189884
"Acer davidii",7262943
"Acer davidii subsp. grosseri",7262943
"Acer glabrum",3189864
"Acer granatense",7263115
"Acer heldreichii",7375236
"Acer heldreichii subsp. trautvetteri",8632013
"Acer hyrcanum",7262979
"Acer hyrcanum subsp. intermedium",7262979
"Acer hyrcanum subsp. stevenii",6709452
"Acer japonicum",3767816
"Acer macrophyllum",3189835
"Acer mandshuricum",7263103
"Acer miyabei",7263019
"Acer monspessulanum",7262958
"Acer monspessulanum subsp. cinerascens",6709442
"Acer monspessulanum subsp. ibericum",7262958
"Acer monspessulanum subsp. microphyllum",7262958
"Acer negundo",3189866
"Acer oblongum",7262960
"Acer obtusifolium",7675369
"Acer opalus",7100278
"Acer opalus subsp. obtusatum",7100278
"Acer palmatum",3189882
"Acer pensylvanicum",3189836
"Acer pictum",7262911
"Acer platanoides",3189846
"Acer pseudoplatanus",3189870
"Acer pseudosieboldianum",7263054
"Acer rubrum",3189883
"Acer saccharinum",3189837
"Acer saccharum",3189859
"Acer sempervirens",3768609
"Acer spicatum",3189848
"Acer tataricum",3189843
"Acer tataricum subsp. ginnala",3189843
"Acer tataricum subsp. semenovii",3189843
"Acer undulatum",3768028
"Acer velutinum",7574829
"Achillea abrotanoides",3120350
"Achillea ageratifolia",7691980
"Achillea ageratifolia subsp. serbica",7691980
"Achillea ageratum",3120391
"Achillea alpina",3120223
"Achillea arabica",3120275
"Achillea asiatica",3120173
"Achillea aspleniifolia",7491603
"Achillea atrata",3120203
"Achillea biserrata",3120300
"Achillea chamaemelifolia",3120253
"Achillea chrysocoma",3120012
"Achillea clavennae",3120117
"Achillea clusiana",3120002
"Achillea clypeolata",3120016
"Achillea coarctata",3120289
"Achillea cretica",3120369
"Achillea crithmifolia",8059665
"Achillea cucullata",3120354
"Achillea distans",3120264
"Achillea distans subsp. stricta",6077447
"Achillea distans subsp. tanacetifolia",4216575
